"","app_id","developer","score_rank","owners_min","owners_max","price","Name","hours_played","Action","Platformer","RPG","RTS","Strategy","Turn-Based Strategy"
"74",440,"Valve","","50000000","100000000","0","Team Fortress 2",1.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"75",386360,"Titan Forge Games","","10000000","20000000","0","SMITE",1.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"76",207170,"Almost Human Games","","500000","1000000","1499","Legend of Grimrock",1.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"77",414740,"Lion game Lion","","50000","100000","1999","RAID: World War II",1.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"78",502520,"Game-Labs","","100000","200000","2999","Ultimate General: Civil War",0.7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"79",333930,"Splash Damage","","5000000","10000000","0","Dirty Bomb",0.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"80",290300,"Double Damage Games","","500000","1000000","1999","Rebel Galaxy",0.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"81",302670,"Digitalmindsoft","","500000","1000000","0","Call to Arms",0.5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"82",4700,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","","2000000","5000000","2499","Total War: MEDIEVAL II - Definitive Edition",0.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"83",40960,"FireFly Studios","","0","20000","1499","Stronghold 2",0.4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"84",249050,"AMPLITUDE Studios","","500000","1000000","1199","Dungeon of the Endless",0.3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"85",50300,"YAGER","","2000000","5000000","2999","Spec Ops: The Line",0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"86",291480,"MY.GAMES","","10000000","20000000","0","Warface",0.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"87",39120,"Trion Worlds","","2000000","5000000","0","RIFT",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"88",238960,"Grinding Gear Games","","10000000","20000000","0","Path of Exile",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"89",639600,"Bohemia Interactive","","0","20000","0","Arma 3 Malden",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"90",275700,"Bohemia Interactive","","0","20000","0","Arma 3 Zeus",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"91",490060,"Gearbox Software","","0","20000","2999","Battleborn: Full Game Upgrade",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"92",49520,"Gearbox Software, Aspyr (Mac), Aspyr (Linux)","","10000000","20000000","1999","Borderlands 2",NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
